Risk_Category,Risk_Factor_Title,Verbatim_Excerpt
Climate,"Climate-related risks including physical and transition risk","Climate-related risks could adversely affect our business and performance, including indirectly through impacts on our customers. Increased frequency or severity of acute weather events ... could result in increased losses due to the impact of climate change on the collateral that secures customer borrowings."
Climate,"Climate policy and regulatory uncertainty","Additionally, the federal government has altered and may continue to alter climate policies or requirements in a way that conflicts with certain state-level policies or investor expectations."
Estimates and Assumptions,"Subjective accounting estimates","Certain accounting policies require that we use estimates, assumptions and judgments in preparing our financial statements, including in determining credit loss reserves, reserves related to legal proceedings and the fair value of certain assets and liabilities."
Estimates and Assumptions,"AI/ML model risk","There are risks resulting from the extensive use of models, some of which use AI, in our business. Poorly designed or implemented models present the risk that our business decisions based on information incorporating model output will be adversely affected."
Operational,"Dependence on employees and controls","We depend on the effectiveness and integrity of employees, and the systems and controls for which they are responsible, to manage operational risks."
Operational,"Third-party vendor and service provider risk","We rely on third-party vendors, service providers and other counterparties to help support many aspects of our business. When we do so, our direct control of activities related to our business is reduced, which introduces risk."
Operational,"Fraud risk","As a large financial services firm, we are faced with ongoing attempts by individuals or organizations to defraud us or our customers for financial gain."
Operational,"Business continuity and disaster risk","We depend on the effectiveness and integrity of employees, and the systems and controls for which they are responsible, to manage operational risks."
Reputational,"Reputation damage risk","We are at risk of an adverse impact on our business due to damage to our reputation. Financial services companies are highly vulnerable to reputational damage when they are found to have harmed customers."
Reputational,"ESG and stakeholder activism risk","To an increasing extent, financial services companies, including PNC, are facing criticism with accompanying reputational risk from activists, investors and stakeholders who believe companies should be focusing more or less on environmental, social and governance matters."
Competition,"Intense competition from financial and non-financial firms","We are subject to intense competition both from other financial institutions and from non-bank entities, including financial technology companies (often referred to as 'fintech')."
Competition,"Talent competition","We depend on skilled labor, and employee attrition, competition for talented employees and labor shortages may have a material adverse effect on our business and operations."
Legal,"Legal proceedings and regulatory inquiry","We are at risk for the impact of adverse results in legal proceedings. Many aspects of our business involve substantial risk of legal liability."
Legal,"Acquisition integration risk","Acquisitions of other companies or of financial assets and deposits ... present risks and uncertainties to us in addition to those presented by the nature of the business acquired."
Strategic,"Customer attraction and retention","Our success depends on our ability to attract and retain customers for our products and services. If customers lose confidence due to concerns regarding the economy, the demand for our products and services could suffer."
Strategic,"Geopolitical and disaster risk","Our business and financial performance could be adversely affected, directly or indirectly, by disasters, natural or otherwise, by terrorist activities, by international hostilities or by domestic civil unrest."
